City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Banikoara,BJ,11.2985,2.4386,77.88,17,0,5.82,clear sky
296,Quirinopolis,BR,-18.4483,-50.4517,79.84,72,85,7.72,moderate rain
297,Swan River,CA,52.1058,-101.2676,28.4,64,18,12.66,few clouds
298,Khambhaliya,IN,22.2072,69.6683,67.14,34,0,8.84,clear sky
299,Jacmel,HT,18.2342,-72.5347,89.6,40,20,18.41,few clouds
300,College,US,64.8569,-147.8028,1.4,78,40,2.71,scattered clouds
301,Guerrero Negro,MX,27.9769,-114.0611,69.4,24,0,5.59,clear sky
302,Morondava,MG,-20.2833,44.2833,84.83,76,12,9.6,few clouds
303,Coquimbo,CL,-29.9533,-71.3436,64.4,68,20,16.11,few clouds
304,Torgau,DE,51.5667,13.0,36.0,93,75,11.5,broken clouds
305,Omboue,GA,-1.5746,9.2618,78.15,88,100,7.78,moderate rain
306,Brigantine,US,39.4101,-74.3646,46.99,45,1,6.91,clear sky
307,Zhanakorgan,KZ,43.9098,67.2495,24.44,99,72,2.26,broken clouds
308,Les Cayes,HT,18.2,-73.75,80.44,67,100,8.46,overcast clouds
309,Yakeshi,CN,49.2833,120.7333,-8.05,90,100,6.4,overcast clouds
310,Luorong,CN,24.4058,109.6086,44.17,53,24,2.08,few clouds
311,Kopeysk,RU,55.131,61.6792,-16.6,76,0,8.95,clear sky
312,Mayya,RU,61.7333,130.2811,-58.0,57,82,3.27,fog
313,Havoysund,NO,70.9963,24.6622,21.2,67,100,23.02,overcast clouds
314,Alofi,NU,-19.0595,-169.9187,80.6,89,75,6.91,broken clouds
315,Kyshtovka,RU,56.555,76.6271,-21.21,84,0,7.61,clear sky
316,Kabo,CF,7.6994,18.629,76.01,18,0,4.21,clear sky
317,Vanimo,PG,-2.6741,141.3028,78.15,85,100,3.85,overcast clouds
318,Helena,US,46.5927,-112.0361,46.99,59,1,4.61,clear sky
319,Barpeta,IN,26.3167,91.0,60.8,88,75,3.67,mist
320,La Ronge,CA,55.1001,-105.2842,35.6,60,0,4.61,clear sky
