City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Muros,ES,41.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
368,Port Hawkesbury,CA,37.0,moderate rain,45.6169,-61.3485,MacKenzie House Tourist Home B&B
369,Kampong Cham,KH,63.7,clear sky,11.9934,105.4635,7 Makara Hotel
370,Hitoyoshi,JP,33.01,broken clouds,32.2167,130.75,Ryokan Ayu-no-Sato
372,Cururupu,BR,79.3,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
373,Norrtalje,SE,30.99,clear sky,59.758,18.705,Norrtälje Vandrarhem Hvilan
374,Murray Bridge,AU,55.99,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
376,Bonavista,CA,30.0,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
378,Coihaique,CL,59.0,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
380,Mareeba,AU,77.0,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
382,Umm Lajj,SA,75.92,clear sky,25.0213,37.2685,Moon light Furnished Units
384,Kauswagan,PH,75.99,overcast clouds,8.1917,124.0847,lola patring
385,Ponta Delgada,PT,60.8,moderate rain,37.7333,-25.6667,Vila Nova Hotel
386,Prince Rupert,CA,41.0,light rain,54.3161,-130.3201,Crest Hotel
387,Kotaparh,IN,62.29,few clouds,19.15,82.35,Bablu Bikash Marg
388,Honiara,SB,75.78,light rain,-9.4333,159.95,Heritage Park Hotel
389,Kawalu,ID,72.91,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
390,Roebourne,AU,87.31,light rain,-20.7833,117.1333,Harding River Caravan Park
392,Diego De Almagro,CL,83.77,clear sky,-26.3667,-70.05,hotel luna del desierto
393,Port Hedland,AU,84.2,clear sky,-20.3167,118.5667,The Esplanade Hotel
394,Bonthe,SL,78.84,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
396,Dong Hoi,VN,54.27,scattered clouds,17.4833,106.6,Nam Long Hotel
398,Eureka,US,57.0,moderate rain,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
399,Grand Gaube,MU,79.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
400,Jacqueville,CI,77.0,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
401,Innisfail,AU,76.44,overcast clouds,-17.5333,146.0333,Moondarra Motel
402,Denizli,TR,51.8,broken clouds,37.8402,29.0698,Anemon Denizli Hotel
404,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
405,Chachapoyas,PE,63.9,moderate rain,-6.2317,-77.869,Teresita
406,Monrovia,LR,78.8,broken clouds,6.3005,-10.7969,Sunset Inn
407,Hervey Bay,AU,69.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
